UMAP1,UMAP2,UMAP3,Year
15.829678,8.232668,8.638322,2022
6.1581697,13.264415,15.501086,2022
7.024296,10.394759,7.932659,2022
15.84663,8.319205,8.647703,2022
15.768736,8.312305,8.684031,2022
6.4771676,10.4517355,10.189098,2022
15.816284,8.27051,8.670965,2022
2.0757987,10.449804,8.679276,2022
15.777673,8.340701,8.722356,2022
8.614716,11.006204,9.086196,2022
4.602445,10.3337965,9.721781,2022
15.743835,8.161682,8.7048855,2022
2.0214052,10.404136,8.703218,2022
4.5166907,10.608722,10.031084,2022
8.628394,10.960834,9.069595,2022
8.547738,11.071107,8.86026,2022
2.2081802,10.561729,8.306557,2022
2.2463796,10.619248,8.300052,2022
15.705571,8.1371,8.851172,2022
6.1274676,13.353108,15.404157,2022
7.861582,10.707855,8.947056,2022
2.1218212,10.361944,8.768416,2022
2.168478,10.605488,8.365124,2022
6.1878877,13.2759695,15.421848,2022
2.0159538,10.424759,8.446115,2022
15.818802,8.209386,8.740753,2022
2.1611836,10.577366,8.403572,2022
12.206398,5.432774,13.767212,2022
3.165068,10.071518,9.141598,2022
2.0685415,10.565842,8.404823,2022
8.592656,11.10929,8.883702,2022
6.923057,10.62228,10.245095,2022
6.1947556,11.535574,14.169324,2022
-2.3108444,0.8298249,8.782141,2022
-2.801919,0.6525775,8.518804,2022
7.3548594,10.570108,9.547284,2022
4.5161867,2.1066828,6.4487066,2022
7.06777,10.974483,11.299967,2022
-2.3608644,0.9188129,8.804221,2022
6.1884675,11.822273,13.967401,2022
-2.3782709,0.83705884,8.751598,2022
-2.2755902,0.8929117,8.740953,2022
-2.8642018,0.5952222,8.458545,2022
6.153027,11.497575,14.602123,2022
-2.2416215,0.88902473,8.732398,2022
-2.4085834,0.9280654,8.777895,2022
-1.7042594,0.8678138,9.334429,2022
-2.3838985,0.967041,8.68341,2022
-4.9839263,-1.0829788,6.429296,2022
6.1685,11.572182,14.493623,2022
-2.266005,0.8814355,8.718997,2022
15.8648615,8.406451,8.411891,2022
7.0343933,10.86309,10.904631,2022
6.117799,12.167666,13.872706,2022
-1.7269665,0.87690896,9.312719,2022
4.3449225,2.0524368,6.3695917,2022
6.1207085,12.219296,13.83725,2022
7.0674143,10.966681,11.348256,2022
8.052813,10.869091,8.844621,2022
15.825729,8.335838,8.739192,2022
1.991637,10.47034,8.710469,2022
15.733296,8.366827,8.62243,2022
3.1257496,10.087013,9.118865,2022
2.0805848,10.400247,8.707868,2022
15.849211,8.2672615,8.612551,2022
6.164526,13.314769,15.457038,2022
2.0861452,10.525971,8.395041,2022
6.183531,13.327717,15.389361,2022
2.0761578,10.522508,8.546462,2022
12.133302,5.362814,13.894457,2022
7.4995656,10.738342,8.317001,2022
6.312841,12.453112,14.651553,2022
15.821155,8.232653,8.676777,2022
-2.303475,0.8699285,8.765204,2022
6.2592883,13.194632,15.448023,2022
2.1210225,10.571401,8.529047,2022
2.0656133,10.514802,8.507797,2022
8.3254595,12.334798,9.955081,2023
8.40177,11.273793,9.209711,2023
3.6385953,10.57201,7.8017817,2023
8.178493,12.198058,9.998034,2023
3.247391,10.180327,8.782444,2023
7.0025234,10.9249,11.396939,2023
7.0491157,10.890866,10.989383,2023
7.4109464,10.619408,9.514116,2023
6.192077,11.584118,14.067173,2023
-1.7165723,0.8552732,9.318877,2023
6.1750455,11.7307825,14.035752,2023
6.3116145,12.400043,14.616184,2023
-2.2756326,0.94795346,8.83829,2023
6.8490973,10.592452,10.179651,2023
-2.3121734,1.0351111,8.864243,2023
4.4189353,1.9830517,6.3183627,2023
-2.3060014,0.96319145,8.829418,2023
4.3501353,2.0483665,6.2853017,2023
6.5084662,12.90341,15.328764,2023
6.097108,11.342921,14.795185,2023
1.7673917,9.658784,6.889464,2023
4.4798355,10.585109,10.00318,2023
7.109544,10.462179,8.020023,2023
16.175196,8.815248,7.187415,2023
8.481811,11.16828,8.809408,2023
16.168139,8.809291,7.1602154,2023
7.980424,11.779369,9.8036175,2023
6.1291366,12.148491,15.297674,2023
3.6163158,10.552638,7.8258424,2023
6.436555,12.894249,15.131854,2023
1.6393565,9.575713,6.566227,2023
1.7721131,9.618512,6.8704,2023
1.67115,9.554871,6.625268,2023
16.030012,8.709342,7.209843,2023
15.785418,8.629377,7.3540964,2023
7.5655026,5.1396,8.821709,2023
7.6622033,5.0425563,8.724683,2023
7.577483,5.1275315,8.809665,2023
7.4240217,10.625822,8.183238,2023
8.736089,10.444038,9.248932,2023
7.0946946,10.469749,8.008432,2023
16.198448,8.312405,6.7890844,2023
6.1778646,12.944913,15.520693,2023
6.48567,12.999844,15.05854,2023
16.206913,8.266653,6.741505,2023
1.8786871,10.25204,7.8406696,2023
6.0718427,11.315952,3.0962393,2023
4.4373617,10.596212,9.985203,2023
6.016933,11.261479,3.071978,2023
4.3831944,2.4184175,6.4894886,2023
15.935781,8.676113,7.2914047,2023
15.903096,8.6682205,7.300092,2023
15.961817,8.663916,7.3118453,2023
1.6865376,9.539059,6.619093,2023
6.029518,11.274083,3.1082418,2023
15.809865,8.697981,7.2807064,2023
1.7191118,9.57108,6.667289,2023
1.684726,9.517433,6.786229,2023
16.033056,8.72466,7.26116,2023
8.644651,11.150339,8.90408,2023
1.880072,9.95353,7.052918,2023
16.067158,8.823994,7.0949826,2023
16.08819,8.795793,7.111745,2023
6.5681057,13.004274,15.289967,2023
15.849624,8.7525015,7.2176037,2023
15.908591,8.711636,7.2517056,2023
6.611606,13.006818,15.158263,2023
8.261422,11.649804,9.705982,2023
16.166384,8.8468685,6.972479,2023
6.5179496,10.404042,10.137545,2023
16.193483,8.829429,6.9576626,2023
16.192812,8.862577,6.957635,2023
16.229559,8.849155,6.9278755,2023
4.49866,10.366062,9.709604,2023
6.517876,10.460227,10.179812,2024
15.738763,5.7448277,7.021815,2024
15.813806,5.8768063,7.002246,2024
3.073025,10.174137,9.078973,2024
16.472694,6.7966824,6.6572976,2024
4.441855,1.9358453,6.269546,2024
7.1616287,11.010877,11.129486,2024
-1.7665361,0.8319663,9.281478,2024
4.369639,2.0252998,6.2841024,2024
-2.4270074,1.1664175,9.102095,2024
7.3886695,10.510182,9.608935,2024
-4.9736085,-1.1118641,6.464443,2024
6.183101,11.748718,14.020253,2024
6.8878617,10.5828285,10.266638,2024
-2.43506,1.1775882,9.075441,2024
-5.0534678,-1.1550385,6.318604,2024
7.0480027,10.880918,10.953051,2024
-4.968576,-1.0441442,6.532115,2024
15.649896,5.702278,6.9499846,2024
2.243346,9.943248,7.715896,2024
12.036583,5.2812586,13.986251,2024
-2.426272,1.1659507,9.095757,2024
15.759663,5.7832713,7.0456886,2024
3.2714021,10.1621475,8.7526655,2024
3.2568324,10.133591,8.810778,2024
3.5597854,10.496737,7.862893,2024
4.562409,10.423546,9.811184,2024
15.729875,5.755652,7.011185,2024
1.7597151,9.726923,6.6136203,2024
15.898737,5.9062624,6.993852,2024
6.2705812,12.953261,15.095455,2024
15.8578,5.883874,6.978654,2024
17.02338,6.1689487,7.127029,2024
6.275821,12.874845,15.389771,2024
15.806884,5.8108535,7.0737424,2024
15.82095,5.793638,7.0860825,2024
4.477827,10.612901,10.053242,2024
8.705747,11.185298,8.799225,2024
15.686643,5.8024,7.0704346,2024
6.226688,12.865696,15.146895,2024
6.135063,13.002963,15.546917,2024
1.7822318,9.740752,6.6319766,2024
15.81868,5.797505,7.092121,2024
4.525532,10.470996,9.867221,2024
15.86088,5.8709245,7.0180287,2024
5.9481487,11.193278,3.1195292,2024
4.422525,2.4226875,6.5181994,2024
7.338,10.5024605,8.264373,2024
15.846486,5.849321,7.064456,2024
15.959765,5.934269,7.1508007,2024
1.8155717,9.627468,6.6995115,2024
12.0626955,5.320133,14.04052,2024
6.9964223,10.660426,8.397666,2024
